time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter,.fixed_quality
2023/02/20/17:56:49.174586,0,82609,0,GNSS,42.33826605,71.08661750833333,33.151,0.62,671894.0510802305,4689443.226452954,225649.0,42,T,4
2023/02/20/17:56:50.185073,0,82610,0,GNSS,42.33826602,71.08661752333333,33.15,0.62,671894.0523977154,4689443.223152006,225650.0,42,T,4
2023/02/20/17:56:51.162419,0,82611,0,GNSS,42.33826603166667,71.08661752666667,33.151,0.62,671894.0526405356,4689443.22445424,225651.0,42,T,4
2023/02/20/17:56:52.202760,0,82612,0,GNSS,42.338266045,71.08661750833333,33.142,0.62,671894.0510938547,4689443.225897742,225652.0,42,T,4
2023/02/20/17:56:53.200268,0,82613,0,GNSS,42.338266041666664,71.08661752833333,33.147,0.62,671894.0527505912,4689443.225568032,225653.0,42,T,4
2023/02/20/17:56:54.172916,0,82614,0,GNSS,42.33826603833333,71.08661752,33.144,0.62,671894.0520731513,4689443.225181044,225654.0,42,T,4
2023/02/20/17:56:55.180042,0,82615,0,GNSS,42.338266045,71.08661751166666,33.148,0.62,671894.051368463,4689443.225904481,225655.0,42,T,4
2023/02/20/17:56:56.184812,0,82616,0,GNSS,42.338266035,71.08661748,33.146,0.62,671894.0487869252,4689443.224730039,225656.0,42,T,4
2023/02/20/17:56:57.184644,0,82617,0,GNSS,42.33826607,71.08661749666666,33.144,0.62,671894.0500646003,4689443.228650217,225657.0,42,T,4
2023/02/20/17:56:58.203687,0,82618,0,GNSS,42.33826603,71.08661748,33.146,0.62,671894.0488005495,4689443.224174828,225658.0,42,T,4
2023/02/20/17:56:59.191575,0,82619,0,GNSS,42.338266043333334,71.086617505,33.144,0.62,671894.050823788,4689443.225705933,225659.0,42,T,4
2023/02/20/17:57:00.132564,0,82620,0,GNSS,42.33826604833333,71.0866175,33.138,0.62,671894.0503982472,4689443.226251038,225700.0,42,T,4
2023/02/20/17:57:01.207959,0,82621,0,GNSS,42.33826606,71.08661751333334,33.143,0.62,671894.0514648943,4689443.227573486,225701.0,42,T,4
2023/02/20/17:57:02.203251,0,82622,0,GNSS,42.33826605666667,71.08661749666666,33.144,0.62,671894.0501009318,4689443.227169652,225702.0,42,T,4
2023/02/20/17:57:03.195619,0,82623,0,GNSS,42.338266041666664,71.0866175,33.147,0.62,671894.050416413,4689443.225510755,225703.0,42,T,4
2023/02/20/17:57:04.181254,0,82624,0,GNSS,42.338266041666664,71.08661751666666,33.138,0.62,671894.0517894583,4689443.225544447,225704.0,42,T,4
2023/02/20/17:57:05.183425,0,82625,0,GNSS,42.33826602833334,71.08661749833334,33.141,0.62,671894.0503154402,4689443.224026819,225705.0,42,T,4
2023/02/20/17:57:06.204736,0,82626,0,GNSS,42.338266053333335,71.0866175,33.141,0.62,671894.0503846229,4689443.226806249,225706.0,42,T,4
2023/02/20/17:57:07.189415,0,82627,0,GNSS,42.338266071666666,71.08661755833333,33.14,0.62,671894.0551403279,4689443.228959952,225707.0,42,T,4
2023/02/20/17:57:08.163652,0,82628,0,GNSS,42.33826605,71.086617505,33.145,0.62,671894.0508056222,4689443.226446216,225708.0,42,T,4
2023/02/20/17:57:09.193067,0,82629,0,GNSS,42.33826605833333,71.08661750833333,33.143,0.62,671894.0510575233,4689443.227378307,225709.0,42,T,4
2023/02/20/17:57:10.155516,0,82630,0,GNSS,42.338266055,71.08661749,33.143,0.62,671894.0495562546,4689443.226971103,225710.0,42,T,4
2023/02/20/17:57:11.169368,0,82631,0,GNSS,42.33826602,71.086617475,33.143,0.62,671894.0484158857,4689443.223054296,225711.0,42,T,4
2023/02/20/17:57:12.152502,0,82632,0,GNSS,42.33826602333333,71.08661747166667,33.137,0.62,671894.0481321925,4689443.223417699,225712.0,42,T,4
2023/02/20/17:57:13.169806,0,82633,0,GNSS,42.338266078333334,71.08661749833334,33.137,0.62,671894.0501791973,4689443.229578939,225713.0,42,T,4
2023/02/20/17:57:14.147434,0,82634,0,GNSS,42.33826605833333,71.08661751,33.135,0.62,671894.0511948275,4689443.227381677,225714.0,42,T,4
2023/02/20/17:57:15.154831,0,82635,0,GNSS,42.33826608,71.08661751,33.137,0.62,671894.0511357889,4689443.229787594,225715.0,42,T,4
2023/02/20/17:57:16.374593,0,82636,0,GNSS,42.33826607,71.08661750333333,33.144,0.62,671894.0506138168,4689443.228663694,225716.0,42,T,4
2023/02/20/17:57:17.183728,0,82637,0,GNSS,42.338266078333334,71.08661750666667,33.138,0.62,671894.050865722,4689443.229595786,225717.0,42,T,4
2023/02/20/17:57:18.183819,0,82638,0,GNSS,42.33826609,71.08661748833333,33.142,0.62,671894.0493235806,4689443.230854217,225718.0,42,T,4
2023/02/20/17:57:19.225672,0,82639,0,GNSS,42.338266053333335,71.086617525,33.139,0.62,671894.0524441929,4689443.226856788,225719.0,42,T,4
2023/02/20/17:57:20.181021,0,82640,0,GNSS,42.33826603833333,71.08661750666667,33.143,0.62,671894.0509747164,4689443.22515409,225720.0,42,T,4
2023/02/20/17:57:21.860849,0,82641,0,GNSS,42.33826607666666,71.08661752,33.14,0.62,671894.0519686985,4689443.22943767,225721.0,42,T,4
2023/02/20/17:57:22.715025,0,82642,0,GNSS,42.338266063333336,71.08661751666666,33.142,0.62,671894.0517304196,4689443.227950366,225722.0,42,T,4
2023/02/20/17:57:23.438546,0,82643,0,GNSS,42.33826606666667,71.08661750666667,33.138,0.62,671894.0508975121,4689443.22830029,225723.0,42,T,4
2023/02/20/17:57:24.178920,0,82644,0,GNSS,42.338266075,71.08661753666667,33.143,0.62,671894.0533462852,4689443.229286291,225724.0,42,T,4
2023/02/20/17:57:25.169700,0,82645,0,GNSS,42.33826608,71.08661754166667,33.14,0.62,671894.0537445754,4689443.229851611,225725.0,42,T,4
2023/02/20/17:57:26.187302,0,82646,0,GNSS,42.338266078333334,71.08661754333333,33.14,0.62,671894.0538864209,4689443.22966991,225726.0,42,T,4
2023/02/20/17:57:27.176302,0,82647,0,GNSS,42.338266053333335,71.08661754,33.143,0.62,671894.0536799341,4689443.226887112,225727.0,42,T,4
2023/02/20/17:57:28.443373,0,82648,0,GNSS,42.33826605,71.08661753,33.144,0.62,671894.0528651882,4689443.226496755,225728.0,42,T,4
2023/02/20/17:57:29.208807,0,82649,0,GNSS,42.33826605,71.08661752833333,33.143,0.62,671894.052727884,4689443.226493387,225729.0,42,T,4
2023/02/20/17:57:30.285689,0,82650,0,GNSS,42.338266063333336,71.08661752166667,33.145,0.62,671894.052142334,4689443.227960473,225730.0,42,T,4
2023/02/20/17:57:31.461863,0,82651,0,GNSS,42.33826606833333,71.08661751666666,33.146,0.62,671894.0517167954,4689443.228505577,225731.0,42,T,4
2023/02/20/17:57:32.163115,0,82652,0,GNSS,42.338266071666666,71.08661751833333,33.146,0.61,671894.0518450167,4689443.228879089,225732.0,42,T,4
2023/02/20/17:57:33.174368,0,82653,0,GNSS,42.338266041666664,71.08661753166666,33.148,0.61,671894.0530251994,4689443.225574771,225733.0,42,T,4
2023/02/20/17:57:34.246149,0,82654,0,GNSS,42.33826604666667,71.08661753,33.149,0.61,671894.0528742711,4689443.226126614,225734.0,42,T,4
2023/02/20/17:57:35.224271,0,82655,0,GNSS,42.338266055,71.086617525,33.15,0.61,671894.0524396516,4689443.227041859,225735.0,42,T,4
2023/02/20/17:57:36.330800,0,82656,0,GNSS,42.338266018333336,71.08661753833333,33.154,0.61,671894.053637998,4689443.22299726,225736.0,42,T,4
2023/02/20/17:57:37.173830,0,82657,0,GNSS,42.338266045,71.08661752,33.149,0.61,671894.0520549857,4689443.225921326,225737.0,42,T,4
