rosbagTimeStamp,Header,seq,stamp,secs,nsecs,frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675200697929844252,,0,,77497,0,"""GPS1_frame""",42.33869171142578,-71.08465576171875,2.5,1.2000000476837158,328268.9375,4689486.5,'',19,"""T"""
1675200698923798776,,0,,77498,0,"""GPS1_frame""",42.33869552612305,-71.08465576171875,2.799999952316284,1.2000000476837158,328268.65625,4689487.0,'',19,"""T"""
1675200699931817047,,0,,77499,0,"""GPS1_frame""",42.33869552612305,-71.08466339111328,3.0,1.2000000476837158,328268.375,4689487.0,'',19,"""T"""
1675200700931624902,,0,,77500,0,"""GPS1_frame""",42.33869934082031,-71.08466339111328,2.799999952316284,1.2000000476837158,328268.125,4689487.5,'',19,"""T"""
1675200701932760696,,0,,77501,0,"""GPS1_frame""",42.33870315551758,-71.08467102050781,2.700000047683716,1.2000000476837158,328267.71875,4689487.5,'',19,"""T"""
1675200702932255561,,0,,77502,0,"""GPS1_frame""",42.33870315551758,-71.08467102050781,2.700000047683716,1.2000000476837158,328267.3125,4689488.0,'',19,"""T"""
1675200703934034834,,0,,77503,0,"""GPS1_frame""",42.338706970214844,-71.08467864990234,2.9000000953674316,1.2000000476837158,328266.75,4689488.0,'',19,"""T"""
1675200704931906323,,0,,77504,0,"""GPS1_frame""",42.33871078491211,-71.08468627929688,2.799999952316284,1.2000000476837158,328266.21875,4689488.5,'',19,"""T"""
1675200705932102698,,0,,77505,0,"""GPS1_frame""",42.33871078491211,-71.0846939086914,2.799999952316284,1.2000000476837158,328265.53125,4689489.0,'',19,"""T"""
1675200706931174155,,0,,77506,0,"""GPS1_frame""",42.33871078491211,-71.08470916748047,3.299999952316284,1.2000000476837158,328264.3125,4689489.0,'',19,"""T"""
1675200707931464412,,0,,77507,0,"""GPS1_frame""",42.338714599609375,-71.08472442626953,3.700000047683716,1.2000000476837158,328263.34375,4689489.0,'',19,"""T"""
1675200708930235466,,0,,77508,0,"""GPS1_frame""",42.338714599609375,-71.08473205566406,4.099999904632568,1.2000000476837158,328262.40625,4689489.5,'',19,"""T"""
1675200709924694086,,0,,77509,0,"""GPS1_frame""",42.33871841430664,-71.0847396850586,4.599999904632568,1.2000000476837158,328261.5625,4689489.5,'',19,"""T"""
1675200710930919590,,0,,77510,0,"""GPS1_frame""",42.33871841430664,-71.08474731445312,5.099999904632568,1.2000000476837158,328261.03125,4689490.0,'',19,"""T"""
1675200711930364905,,0,,77511,0,"""GPS1_frame""",42.338722229003906,-71.08475494384766,5.599999904632568,1.2000000476837158,328260.625,4689490.0,'',19,"""T"""
